"가수","구독자수","일일.조회수","영상별.평균.조회수","활성도","호감도","미스터.트롯.출연"
"임영웅",1160000,2079000,1766000,0.87,0.99,TRUE
"영탁",457000,365000,143000,0.4,0.99,TRUE
"이찬원",270000,537000,522000,0.94,0.99,TRUE
"남승민",37000,794,114000,1,0.98,TRUE
"정동원",521000,609000,570000,0.77,0.98,TRUE
"장민호",258000,171000,160000,0.6,0.99,TRUE
"김희재",137000,0,191000,0.85,0.99,TRUE
