"","number","artist","title","genre","year","month"
"1","89671631","창모 (CHANGMO)","METEOR","랩/힙합",2020,1
"2","89776757","지코 (ZICO)","아무노래","랩/힙합",2020,1
"3","89744994","Red Velvet (레드벨벳)","Psycho","댄스",2020,1
"4","89613039","아이유 (IU)","Blueming","락",2020,1
"5","89558702","노을","늦은 밤 너의 집 앞 골목길에서","발라드",2020,1
"6","89598605","마마무(Mamamoo)","HIP","댄스",2020,1
"7","89682091","염따 & 딥플로우 & 팔로알토 (Paloalto) & The Quiett & 사이먼 도미닉","아마두 (Feat. 우원재 & 김효은 & 넉살 & Huckleberry P)","랩/힙합",2020,1
"8","89762487","윤하 (YOUNHA)","먹구름","락",2020,1
"9","89320910","장범준","흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야","드라마",2020,1
"10","89702572","백예린 (Yerin Baek)","Square (2017)","전체",2020,1
"11","89382909","AKMU (악동뮤지션)","어떻게 이별까지 사랑하겠어, 널 사랑하는 거지","발라드",2020,1
"12","89773697","백예린 (Yerin Baek)","다시 난, 여기","드라마",2020,1
"13","89741945","백지영","다시는 사랑하지 않고, 이별에 아파하기 싫어","발라드",2020,1
"14","89530447","아이유 (IU)","Love poem","발라드",2020,1
"15","89764850","pH-1","Nerdy Love (Feat. 백예린)","랩/힙합",2020,1
"16","89058209","마크툽 (Maktub)","오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)","인디",2020,1
"17","89602794","Idina Menzel & AURORA","Into the Unknown","애니메이션/게임",2020,1
"18","89678583","다비치","나의 오랜 연인에게","발라드",2020,1
"19","89296790","폴킴","안녕","드라마",2020,1
"20","89380047","임재현","조금 취했어 (Prod. by 2soo)","인디",2020,1
"21","89671630","창모 (CHANGMO)","빌었어","랩/힙합",2020,1
"22","89353654","전상근","사랑이란 멜로는 없어","발라드",2020,1
"23","88773173","방탄소년단","작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)","랩/힙합",2020,1
"24","87928158","Anne-Marie","2002","팝",2020,1
"25","89671315","김나영 & 양다일","헤어진 우리가 지켜야 할 것들","발라드",2020,1
"26","89435292","송하예","새 사랑","발라드",2020,1
"27","87840106","폴킴","모든 날, 모든 순간 (Every day, Every Moment)","드라마",2020,1
"28","88729142","HYNN (박혜원)","시든 꽃에 물을 주듯","발라드",2020,1
"29","89725257","펀치 (Punch)","그때의 우리","발라드",2020,1
"30","89119858","황인욱","포장마차","발라드",2020,1
"31","89493648","MC몽","인기 (Feat. 송가인 & 챈슬러)","랩/힙합",2020,1
"32","89688529","정승환","십이월 이십오일의 고백","발라드",2020,1
"33","88727092","Billie Eilish","bad guy","락",2020,1
"34","89421300","장덕철","있어줘요","인디",2020,1
"35","88915147","송하예","니 소식","발라드",2020,1
