"","number","artist","title","genre","year","month"
"1","91829432","허각","우린 어쩌다 헤어진 걸까","발라드",2021,1
"2","91423133","미란이 (Mirani) & 먼치맨 (MUNCHMAN) & Khundi Panda & 머쉬베놈 (MUSHVENOM)","VVS (Feat. JUSTHIS) (Prod. by GroovyRoom)","랩/힙합",2021,1
"3","90705547","방탄소년단","Dynamite","댄스",2021,1
"4","91361957","경서","밤하늘의 별을 (2020)","인디",2021,1
"5","91840671","양다일","요즘","발라드",2021,1
"6","91911103","이수 (엠씨더맥스)","Your Lights","전체",2021,1
"7","91134598","장범준","잠이 오질 않네요","발라드",2021,1
"8","91931010","(여자)아이들","화(火花)","댄스",2021,1
"9","91854697","비","나로 바꾸자 (Duet With JYP)","댄스",2021,1
"10","91423137","방탄소년단","Life Goes On","랩/힙합",2021,1
"11","90947953","BLACKPINK","Lovesick Girls","댄스",2021,1
"12","91666269","태연 (TAEYEON)","What Do I Call You","R&B/소울",2021,1
"13","90545014","산들","취기를 빌려 (취향저격 그녀 X 산들)","인디",2021,1
"14","91990448","에픽하이 (EPIK HIGH)","Rosario (Feat. CL & ZICO)","랩/힙합",2021,1
"15","91091923","임창정","힘든 건 사랑이 아니다","발라드",2021,1
"16","90960439","Jawsh 685 & Jason Derulo & 방탄소년단","Savage Love (Laxed - Siren Beat) (BTS Remix)","팝",2021,1
"17","92125854","아이유 (IU)","Celebrity","댄스",2021,1
"18","91563412","릴보이 (lIlBOI)","내일이 오면 (Feat. 기리보이 & BIG Naughty (서동현))","랩/힙합",2021,1
"19","91613328","이하이","For You (Feat. Crush)","R&B/소울",2021,1
"20","91716684","릴보이 (lIlBOI)","ON AIR (Feat. 로꼬 & 박재범 & GRAY)","랩/힙합",2021,1
"21","90178428","아이유 (IU)","에잇 (Prod. & Feat. SUGA of BTS)","락",2021,1
"22","91664636","황인욱","한잔이면 지워질까","발라드",2021,1
"23","81461935","Standing Egg (스탠딩 에그)","오래된 노래","발라드",2021,1
"24","91466463","벤","혼술하고 싶은 밤","발라드",2021,1
"25","89320910","장범준","흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야","드라마",2021,1
"26","91716688","릴보이 (lIlBOI)","CREDIT (Feat. 염따 & 기리보이 & Zion.T)","랩/힙합",2021,1
"27","89613039","아이유 (IU)","Blueming","락",2021,1
"28","91978161","DAY6 (Even of Day)","사랑, 이게 맞나 봐","락",2021,1
"29","90709438","규현 (KYUHYUN)","내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)","발라드",2021,1
"30","91990449","에픽하이 (EPIK HIGH)","내 얘기 같아 (Feat. 헤이즈)","랩/힙합",2021,1
"31","92070716","10CM","이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)","발라드",2021,1
"32","92046524","HYNN (박혜원)","그대 없이 그대와","발라드",2021,1
"33","87840106","폴킴","모든 날, 모든 순간 (Every day, Every Moment)","드라마",2021,1
"34","90077755","임영웅","이제 나만 믿어요","트로트",2021,1
"35","91945817","머쉬베놈 (MUSHVENOM) & 저스디스 (JUSTHIS)","옜다 (Take It) (Prod. by GroovyRoom)","랩/힙합",2021,1
"36","91750851","나얼","서로를 위한 것","발라드",2021,1
"37","91625443","스윙스 (Swings)","악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. by 코드 쿤스트)","랩/힙합",2021,1
"38","87928158","Anne-Marie","2002","팝",2021,1
"39","91551008","이예준","그날에 나는 맘이 편했을까","발라드",2021,1
"40","91563409","미란이 (Mirani)","Achoo (Feat. pH-1 & HAON) (Prod. by GroovyRoom)","랩/힙합",2021,1
"41","89671631","창모 (CHANGMO)","METEOR","랩/힙합",2021,1
"42","91620457","이승기","잘할게","발라드",2021,1
"43","89558702","노을","늦은 밤 너의 집 앞 골목길에서","발라드",2021,1
"44","90661587","박진영","When We Disco (Duet With 선미)","댄스",2021,1
"45","90021550","조정석","아로하","드라마",2021,1
"46","88773173","방탄소년단","작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)","랩/힙합",2021,1
"47","90914605","청하 & Christopher","Bad Boy","팝",2021,1
"48","90928056","헤이즈 (Heize) & 펀치 (Punch)","밤하늘의 저 별처럼","드라마",2021,1
"49","89382909","AKMU (악동뮤지션)","어떻게 이별까지 사랑하겠어, 널 사랑하는 거지","발라드",2021,1
"50","91919995","장덕철","겨울잠","발라드",2021,1
