,number,artist,title,genre,heart,t.listener,t.listen
87,92023523,이찬원,화끈하게 신나게,트로트,750,"8,977","155,258"
88,90340809,임영웅,비상,발라드,"3,279","109,651","877,544"
89,90640755,임영웅,엄마의 노래,트로트,"2,584","65,915","538,897"
90,90252975,임영웅,마법의 성,발라드,"4,385","184,454","1,944,253"
91,92023526,김희재,그 여자,OST,540,"5,501","148,778"
92,90677252,이찬원,사랑안해,발라드,"1,417","41,203","686,167"
93,90124468,임영웅,일소일소 일노일노,트로트,"3,585","138,113","1,161,479"
94,90935304,김희재,흰 수염 고래,락,777,"15,610","371,911"
95,91948492,임영웅,외로운 사람들,트로트,"1,098","21,201","165,471"
96,92266034,임영웅,한잔의 눈물,트로트,"1,126","31,188","126,981"
97,92327227,김희재,내 마음 별과 같이,트로트,548,"3,715","126,990"
98,90608765,임영웅,사랑이 이런 건가요,트로트,"2,807","110,817","692,011"
99,90148247,이찬원,사랑찾아 인생찾아,OST,"2,228","109,553","1,505,519"
100,90148251,김희재,나를 외치다,락,"1,197","42,650","599,773"
101,91948489,김희재,초혼,트로트,550,"6,523","152,976"
102,91125230,임영웅,그날들,블루스/포크,"2,445","68,185","431,500"
103,91893120,김희재,애가타,트로트,568,"5,783","176,713"
104,92107242,이찬원,뱀이다 (참아주세요),트로트,682,"9,297","109,760"
105,91064187,장민호,서울 가 살자,트로트,295,"20,844","241,861"
106,91893115,정동원,돼지토끼,트로트,354,"23,533","143,223"
107,90216794,임영웅,세월 베고 길게 누운 구름 한 조각,트로트,"2,968","76,776","664,265"
108,92964776,김희재,너였어,트로트,594,"5,381","107,010"
109,91420728,임영웅,Beautiful,OST,"1,518","39,489","271,585"
110,92327224,임영웅 & 정동원,천 개의 바람이 되어,발라드,718,"15,395","96,083"
111,91420727,임영웅,넌 감동이었어,발라드,"1,322","28,957","222,747"
112,92964771,김희재,수은등,트로트,552,"3,824","102,508"
113,90106093,김희재,"이따,이따요",트로트,"1,063","48,009","449,179"
114,91358284,임영웅,흐린 가을 하늘에 편지를 써,블루스/포크,"1,763","62,308","308,028"
115,90640760,임영웅 & 이해리 (다비치),이제 나만 믿어요,트로트,"1,781","102,754","630,225"
